Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,214.39999389648438,216.16000366210938,213.97999572753906,216.16000366210938,215.70033264160156,30969400
2020-01-03,213.3000030517578,215.47000122070312,213.27999877929688,214.17999267578125,213.7245330810547,27518900
2020-01-06,212.49000549316406,215.58999633789062,212.24000549316406,215.55999755859375,215.1016082763672,21655300
2020-01-07,215.63999938964844,216.13999938964844,214.85000610351562,215.52999877929688,215.07167053222656,22139300
2020-01-08,215.5,218.13999938964844,215.16000366210938,217.14999389648438,216.68821716308594,26397300
2020-01-09,218.94000244140625,219.41000366210938,217.7100067138672,218.99000549316406,218.52432250976562,23547000
2020-01-10,219.85000610351562,219.8699951171875,218.0399932861328,218.42999267578125,217.9654998779297,21898500
2020-01-13,219.3300018310547,220.97999572753906,218.97999572753906,220.9499969482422,220.4801483154297,22756900
2020-01-14,220.83999633789062,221.2100067138672,219.74000549316406,220.0800018310547,219.61199951171875,24418100
2020-01-15,220.1999969482422,221.1999969482422,219.4499969482422,220.1699981689453,219.70179748535156,25742100
2020-01-16,221.27000427246094,222.32000732421875,220.8000030517578,222.27999877929688,221.80731201171875,18805000
2020-01-17,223.27999877929688,223.55999755859375,222.1199951171875,223.3800048828125,222.9049835205078,24325200
2020-01-21,222.75999450683594,223.83999633789062,222.66000366210938,223.27999877929688,222.80519104003906,21146300
2020-01-22,224.41000366210938,225.14999389648438,223.58999633789062,223.8699951171875,223.39393615722656,20736400
2020-01-23,223.74000549316406,224.69000244140625,222.6999969482422,224.58999633789062,224.11239624023438,26496100
2020-01-24,225.63999938964844,225.8800048828125,221.6699981689453,222.6999969482422,222.22642517089844,37436500
2020-01-27,217.6699981689453,219.27999877929688,217.17999267578125,218.10000610351562,217.63621520996094,42264400
2020-01-28,219.63999938964844,221.9600067138672,219.05999755859375,221.4499969482422,220.9790802001953,26731900
2020-01-29,222.67999267578125,222.92999267578125,220.8300018310547,221.80999755859375,221.33831787109375,28924500
2020-01-30,220.3800048828125,222.6999969482422,219.69000244140625,222.60000610351562,222.12664794921875,39406800
2020-01-31,223.52999877929688,223.55999755859375,218.2899932861328,219.07000732421875,218.60415649414062,52015800
2020-02-03,220.13999938964844,222.88999938964844,219.99000549316406,222.3800048828125,221.9071044921875,25468300
2020-02-04,225.4199981689453,227.86000061035156,224.64999389648438,227.47000122070312,226.9862823486328,30691200
2020-02-05,230.2100067138672,230.25,226.85000610351562,228.22000122070312,227.7346954345703,38534800
2020-02-06,228.7899932861328,230.25,227.97999572753906,230.19000244140625,229.70050048828125,22467100
2020-02-07,229.16000366210938,230.44000244140625,228.5399932861328,229.1999969482422,228.7126007080078,25884900
2020-02-10,228.44000244140625,231.97999572753906,228.3800048828125,231.97000122070312,231.47671508789062,21478900
2020-02-11,233.25,234.02000427246094,231.39999389648438,232.00999450683594,231.51661682128906,30198000
2020-02-12,233.3800048828125,234.3800048828125,232.8000030517578,234.27000427246094,233.77182006835938,24471300
2020-02-13,232.63999938964844,234.92999267578125,232.36000061035156,233.97000122070312,233.4724578857422,22773200
2020-02-14,234.33999633789062,234.86000061035156,233.5500030517578,234.63999938964844,234.1410369873047,23438500
2020-02-18,233.5,235.1699981689453,233.25,234.72999572753906,234.2308349609375,24394500
2020-02-19,236.1300048828125,237.47000122070312,235.85000610351562,236.97999572753906,236.47605895996094,22230500
2020-02-20,236.4600067138672,236.9499969482422,231.8800048828125,234.77999877929688,234.28073120117188,42604000
2020-02-21,233.61000061035156,234.00999450683594,229.32000732421875,230.27000427246094,229.78033447265625,66017200
2020-02-24,221.67999267578125,224.25,220.25999450683594,221.38999938964844,220.91920471191406,84522600
2020-02-25,223.25,223.99000549316406,214.74000549316406,215.3699951171875,214.91200256347656,97743000
2020-02-26,216.7100067138672,220.27999877929688,214.89999389648438,216.47999572753906,216.0196533203125,79537700
2020-02-27,210.89999389648438,216.4199981689453,205.5,205.63999938964844,205.20269775390625,121822600
2020-02-28,198.63999938964844,207.1699981689453,198.1699981689453,205.8000030517578,205.36236572265625,149247100
2020-03-02,208.75999450683594,216.57000732421875,205.94000244140625,216.4199981689453,215.95977783203125,112933900
2020-03-03,217.02999877929688,219.61000061035156,207.6199951171875,209.47999572753906,209.03453063964844,131953500
2020-03-04,213.35000610351562,218.3300018310547,211.3699951171875,218.22000122070312,217.75595092773438,73086200
2020-03-05,212.52999877929688,216.36000061035156,210.10000610351562,211.58999633789062,211.14004516601562,78705500
2020-03-06,204.5500030517578,209.14999389648438,202.91000366210938,208.02000427246094,207.57765197753906,89828400
2020-03-09,193.0,201.16000366210938,192.11000061035156,193.57000732421875,193.1583709716797,116424000
2020-03-10,201.11000061035156,204.3000030517578,193.67999267578125,204.11000061035156,203.67596435546875,100599200
2020-03-11,199.3000030517578,200.75,192.72999572753906,195.22000122070312,194.80487060546875,88608900
2020-03-12,182.08999633789062,190.77999877929688,176.94000244140625,177.32000732421875,176.94293212890625,137820700
2020-03-13,187.07000732421875,194.47999572753906,178.1300048828125,192.33999633789062,191.9309844970703,134882000
2020-03-16,171.5,184.67999267578125,169.16000366210938,169.3000030517578,168.9399871826172,92054400
2020-03-17,175.33999633789062,184.38999938964844,169.77999877929688,182.13999938964844,181.75267028808594,121257100
2020-03-18,171.5,179.22000122070312,166.8000030517578,176.60000610351562,176.22445678710938,114156300
2020-03-19,175.42999267578125,183.49000549316406,171.6300048828125,177.66000366210938,177.28221130371094,120896500
2020-03-20,181.88999938964844,182.8699951171875,170.10000610351562,170.6999969482422,170.33700561523438,118983900
2020-03-23,170.6999969482422,174.2100067138672,164.92999267578125,170.4600067138672,170.4600067138672,124639800
2020-03-24,179.8800048828125,183.8300018310547,177.9499969482422,183.66000366210938,183.66000366210938,94881800
2020-03-25,184.49000549316406,189.50999450683594,179.97999572753906,182.3000030517578,182.3000030517578,88754900
2020-03-26,183.92999267578125,192.72000122070312,183.61000061035156,191.89999389648438,191.89999389648438,79887600
2020-03-27,186.89999389648438,190.50999450683594,184.66000366210938,185.3000030517578,185.3000030517578,58798800
